Date,Description,Category,Debit,Credit
2026-01-01,Daily Store Sales,Sales,0,122.03
2026-01-01,Office Rent,Rent,12000,0.0
2026-01-01,SaaS Subscriptions,Software,1500,0.0
2026-01-02,Daily Store Sales,Sales,0,238.93
2026-01-03,Daily Store Sales,Sales,0,205.33
2026-01-04,Daily Store Sales,Sales,0,398.49
2026-01-05,Daily Store Sales,Sales,0,272.01
2026-01-06,Daily Store Sales,Sales,0,272.83
2026-01-07,Daily Store Sales,Sales,0,262.2
2026-01-08,Daily Store Sales,Sales,0,149.41
2026-01-09,Daily Store Sales,Sales,0,418.99
2026-01-10,Daily Store Sales,Sales,0,331.19
2026-01-11,Daily Store Sales,Sales,0,286.35
2026-01-12,Daily Store Sales,Sales,0,324.74
2026-01-13,Daily Store Sales,Sales,0,25.01
2026-01-14,Daily Store Sales,Sales,0,332.18
2026-01-15,Daily Store Sales,Sales,0,83.91
2026-01-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-01-16,Daily Store Sales,Sales,0,357.87
2026-01-17,Daily Store Sales,Sales,0,303.05
2026-01-18,Daily Store Sales,Sales,0,358.3
2026-01-19,Daily Store Sales,Sales,0,256.86
2026-01-20,Daily Store Sales,Sales,0,271.34
2026-01-21,Daily Store Sales,Sales,0,281.37
2026-01-22,Daily Store Sales,Sales,0,337.11
2026-01-23,Daily Store Sales,Sales,0,306.79
2026-01-24,Daily Store Sales,Sales,0,232.1
2026-01-25,Daily Store Sales,Sales,0,229.44
2026-01-26,Daily Store Sales,Sales,0,451.08
2026-01-27,Daily Store Sales,Sales,0,387.96
2026-01-28,Daily Store Sales,Sales,0,161.82
2026-01-29,Daily Store Sales,Sales,0,343.35
2026-01-30,Daily Store Sales,Sales,0,454.28
2026-01-31,Daily Store Sales,Sales,0,243.46
2026-02-01,Office Rent,Rent,12000,0.0
2026-02-01,SaaS Subscriptions,Software,1500,0.0
2026-02-01,Daily Store Sales,Sales,0,338.96
2026-02-02,Daily Store Sales,Sales,0,297.1
2026-02-03,Daily Store Sales,Sales,0,271.94
2026-02-04,Daily Store Sales,Sales,0,487.09
2026-02-05,Daily Store Sales,Sales,0,186.69
2026-02-06,Daily Store Sales,Sales,0,128.28
2026-02-07,Daily Store Sales,Sales,0,406.9
2026-02-08,Daily Store Sales,Sales,0,260.52
2026-02-09,Daily Store Sales,Sales,0,558.67
2026-02-10,Daily Store Sales,Sales,0,393.07
2026-02-11,Daily Store Sales,Sales,0,346.61
2026-02-12,Daily Store Sales,Sales,0,268.91
2026-02-13,Daily Store Sales,Sales,0,95.79
2026-02-14,Daily Store Sales,Sales,0,342.77
2026-02-15,Daily Store Sales,Sales,0,352.05
2026-02-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-02-16,Daily Store Sales,Sales,0,413.49
2026-02-17,Daily Store Sales,Sales,0,328.2
2026-02-18,Daily Store Sales,Sales,0,297.59
2026-02-19,Daily Store Sales,Sales,0,514.01
2026-02-20,Daily Store Sales,Sales,0,407.24
2026-02-21,Daily Store Sales,Sales,0,355.88
2026-02-22,Daily Store Sales,Sales,0,358.98
2026-02-23,Daily Store Sales,Sales,0,366.73
2026-02-24,Daily Store Sales,Sales,0,244.18
2026-02-25,Daily Store Sales,Sales,0,241.49
2026-02-26,Daily Store Sales,Sales,0,125.81
2026-02-27,Daily Store Sales,Sales,0,297.66
2026-02-28,Daily Store Sales,Sales,0,367.9
2026-03-01,Daily Store Sales,Sales,0,209.58
2026-03-01,Office Rent,Rent,12000,0.0
2026-03-01,SaaS Subscriptions,Software,1500,0.0
2026-03-02,Daily Store Sales,Sales,0,224.56
2026-03-03,Daily Store Sales,Sales,0,469.74
2026-03-04,Daily Store Sales,Sales,0,510.84
2026-03-05,Daily Store Sales,Sales,0,285.53
2026-03-05,Consulting Fee - TechCorp (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-06,Daily Store Sales,Sales,0,288.37
2026-03-07,Daily Store Sales,Sales,0,372.98
2026-03-08,Daily Store Sales,Sales,0,346.28
2026-03-09,Daily Store Sales,Sales,0,335.75
2026-03-10,Daily Store Sales,Sales,0,296.91
2026-03-11,Daily Store Sales,Sales,0,412.14
2026-03-12,Daily Store Sales,Sales,0,411.39
2026-03-12,Consulting Fee - GlobalSystems (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-13,Daily Store Sales,Sales,0,344.57
2026-03-14,Daily Store Sales,Sales,0,386.26
2026-03-15,Daily Store Sales,Sales,0,46.52
2026-03-15,Annual Corporate Tax Payment,Tax,45000,0.0
2026-03-16,Daily Store Sales,Sales,0,240.07
2026-03-17,Daily Store Sales,Sales,0,383.14
2026-03-18,Daily Store Sales,Sales,0,227.92
2026-03-19,Daily Store Sales,Sales,0,223.93
2026-03-20,Daily Store Sales,Sales,0,337.33
2026-03-21,Daily Store Sales,Sales,0,319.99
2026-03-22,Daily Store Sales,Sales,0,189.42
2026-03-23,Daily Store Sales,Sales,0,183.1
2026-03-24,Daily Store Sales,Sales,0,175.45
2026-03-25,Daily Store Sales,Sales,0,440.2
2026-03-25,Consulting Fee - DeltaWorks (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-26,Daily Store Sales,Sales,0,299.23
2026-03-27,Daily Store Sales,Sales,0,398.6
2026-03-28,Daily Store Sales,Sales,0,260.01
2026-03-29,Daily Store Sales,Sales,0,422.23
2026-03-30,Daily Store Sales,Sales,0,213.05
2026-03-31,Daily Store Sales,Sales,0,474.66
2026-04-01,Daily Store Sales,Sales,0,268.54
2026-04-01,Office Rent,Rent,12000,0.0
2026-04-01,SaaS Subscriptions,Software,1500,0.0
2026-04-02,Daily Store Sales,Sales,0,226.0
2026-04-03,Daily Store Sales,Sales,0,206.65
2026-04-04,Daily Store Sales,Sales,0,210.28
2026-04-05,Daily Store Sales,Sales,0,101.99
2026-04-06,Daily Store Sales,Sales,0,239.65
2026-04-07,Daily Store Sales,Sales,0,212.27
2026-04-08,Daily Store Sales,Sales,0,277.37
2026-04-09,Daily Store Sales,Sales,0,254.31
2026-04-10,Daily Store Sales,Sales,0,241.27
2026-04-11,Daily Store Sales,Sales,0,290.29
2026-04-12,Daily Store Sales,Sales,0,181.17
2026-04-13,Daily Store Sales,Sales,0,440.13
2026-04-14,Daily Store Sales,Sales,0,282.0
2026-04-15,Daily Store Sales,Sales,0,316.75
2026-04-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-04-16,Daily Store Sales,Sales,0,489.8
2026-04-17,Daily Store Sales,Sales,0,436.51
2026-04-18,Daily Store Sales,Sales,0,243.54
2026-04-19,Daily Store Sales,Sales,0,374.63
2026-04-20,Daily Store Sales,Sales,0,253.93
2026-04-21,Daily Store Sales,Sales,0,309.61
2026-04-22,Daily Store Sales,Sales,0,247.01
2026-04-23,Daily Store Sales,Sales,0,336.03
2026-04-24,Daily Store Sales,Sales,0,345.05
2026-04-25,Daily Store Sales,Sales,0,135.73
2026-04-26,Daily Store Sales,Sales,0,481.98
2026-04-27,Daily Store Sales,Sales,0,451.41
2026-04-28,Daily Store Sales,Sales,0,325.91
2026-04-29,Daily Store Sales,Sales,0,441.26
