Date,Description,Category,Debit,Credit
2026-01-01,Daily Store Sales,Sales,0,769.22
2026-01-01,Office Rent,Rent,12000,0.0
2026-01-01,SaaS Subscriptions,Software,1500,0.0
2026-01-02,Daily Store Sales,Sales,0,992.33
2026-01-03,Daily Store Sales,Sales,0,960.59
2026-01-04,Daily Store Sales,Sales,0,834.77
2026-01-05,Daily Store Sales,Sales,0,705.94
2026-01-06,Daily Store Sales,Sales,0,815.77
2026-01-07,Daily Store Sales,Sales,0,949.41
2026-01-08,Daily Store Sales,Sales,0,706.28
2026-01-09,Daily Store Sales,Sales,0,856.9
2026-01-10,Daily Store Sales,Sales,0,728.8
2026-01-11,Daily Store Sales,Sales,0,808.98
2026-01-12,Daily Store Sales,Sales,0,840.71
2026-01-13,Daily Store Sales,Sales,0,915.96
2026-01-14,Daily Store Sales,Sales,0,579.04
2026-01-15,Daily Store Sales,Sales,0,672.22
2026-01-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-01-16,Daily Store Sales,Sales,0,934.13
2026-01-17,Daily Store Sales,Sales,0,800.67
2026-01-18,Daily Store Sales,Sales,0,970.5
2026-01-19,Daily Store Sales,Sales,0,731.59
2026-01-20,Daily Store Sales,Sales,0,799.99
2026-01-21,Daily Store Sales,Sales,0,648.86
2026-01-22,Daily Store Sales,Sales,0,678.17
2026-01-23,Daily Store Sales,Sales,0,1007.98
2026-01-24,Daily Store Sales,Sales,0,740.97
2026-01-25,Daily Store Sales,Sales,0,760.69
2026-01-26,Daily Store Sales,Sales,0,996.56
2026-01-27,Daily Store Sales,Sales,0,703.44
2026-01-28,Daily Store Sales,Sales,0,891.1
2026-01-29,Daily Store Sales,Sales,0,933.95
2026-01-30,Daily Store Sales,Sales,0,825.42
2026-01-31,Daily Store Sales,Sales,0,781.53
2026-02-01,Office Rent,Rent,12000,0.0
2026-02-01,SaaS Subscriptions,Software,1500,0.0
2026-02-01,Daily Store Sales,Sales,0,829.92
2026-02-02,Daily Store Sales,Sales,0,712.99
2026-02-03,Daily Store Sales,Sales,0,876.47
2026-02-04,Daily Store Sales,Sales,0,739.73
2026-02-05,Daily Store Sales,Sales,0,898.38
2026-02-06,Daily Store Sales,Sales,0,792.95
2026-02-07,Daily Store Sales,Sales,0,787.75
2026-02-08,Daily Store Sales,Sales,0,750.17
2026-02-09,Daily Store Sales,Sales,0,869.14
2026-02-10,Daily Store Sales,Sales,0,801.16
2026-02-11,Daily Store Sales,Sales,0,937.47
2026-02-12,Daily Store Sales,Sales,0,767.36
2026-02-13,Daily Store Sales,Sales,0,871.68
2026-02-14,Daily Store Sales,Sales,0,853.38
2026-02-15,Daily Store Sales,Sales,0,692.58
2026-02-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-02-16,Daily Store Sales,Sales,0,722.78
2026-02-17,Daily Store Sales,Sales,0,797.57
2026-02-18,Daily Store Sales,Sales,0,747.51
2026-02-19,Daily Store Sales,Sales,0,882.53
2026-02-20,Daily Store Sales,Sales,0,799.53
2026-02-21,Daily Store Sales,Sales,0,682.93
2026-02-22,Daily Store Sales,Sales,0,809.2
2026-02-23,Daily Store Sales,Sales,0,955.25
2026-02-24,Daily Store Sales,Sales,0,849.32
2026-02-25,Daily Store Sales,Sales,0,822.65
2026-02-26,Daily Store Sales,Sales,0,790.49
2026-02-27,Daily Store Sales,Sales,0,880.18
2026-02-28,Daily Store Sales,Sales,0,861.3
2026-03-01,Daily Store Sales,Sales,0,725.57
2026-03-01,Office Rent,Rent,12000,0.0
2026-03-01,SaaS Subscriptions,Software,1500,0.0
2026-03-02,Daily Store Sales,Sales,0,841.19
2026-03-03,Daily Store Sales,Sales,0,826.82
2026-03-04,Daily Store Sales,Sales,0,792.95
2026-03-05,Daily Store Sales,Sales,0,771.42
2026-03-06,Daily Store Sales,Sales,0,602.41
2026-03-07,Daily Store Sales,Sales,0,755.29
2026-03-08,Daily Store Sales,Sales,0,776.74
2026-03-09,Daily Store Sales,Sales,0,846.43
2026-03-10,Daily Store Sales,Sales,0,792.78
2026-03-11,Daily Store Sales,Sales,0,695.54
2026-03-12,Daily Store Sales,Sales,0,656.15
2026-03-13,Daily Store Sales,Sales,0,681.39
2026-03-14,Daily Store Sales,Sales,0,744.67
2026-03-15,Daily Store Sales,Sales,0,795.3
2026-03-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-03-16,Daily Store Sales,Sales,0,839.91
2026-03-17,Daily Store Sales,Sales,0,792.91
2026-03-18,Daily Store Sales,Sales,0,769.81
2026-03-19,Daily Store Sales,Sales,0,768.06
2026-03-20,Daily Store Sales,Sales,0,712.12
2026-03-21,Daily Store Sales,Sales,0,828.93
2026-03-22,Daily Store Sales,Sales,0,769.47
2026-03-23,Daily Store Sales,Sales,0,799.46
2026-03-24,Daily Store Sales,Sales,0,897.35
2026-03-25,Daily Store Sales,Sales,0,816.6
2026-03-26,Daily Store Sales,Sales,0,847.34
2026-03-27,Daily Store Sales,Sales,0,864.41
2026-03-28,Daily Store Sales,Sales,0,605.93
2026-03-29,Daily Store Sales,Sales,0,860.03
2026-03-30,Daily Store Sales,Sales,0,833.32
2026-03-31,Daily Store Sales,Sales,0,660.42
2026-04-01,SaaS Subscriptions,Software,1500,0.0
2026-04-01,Daily Store Sales,Sales,0,872.06
2026-04-01,Office Rent,Rent,12000,0.0
2026-04-02,Daily Store Sales,Sales,0,719.65
2026-04-03,Daily Store Sales,Sales,0,816.23
2026-04-04,Daily Store Sales,Sales,0,869.6
2026-04-05,Daily Store Sales,Sales,0,944.79
2026-04-06,Daily Store Sales,Sales,0,795.04
2026-04-07,Daily Store Sales,Sales,0,757.36
2026-04-08,Daily Store Sales,Sales,0,931.67
2026-04-09,Daily Store Sales,Sales,0,856.05
2026-04-10,Daily Store Sales,Sales,0,864.23
2026-04-11,Daily Store Sales,Sales,0,817.28
2026-04-12,Daily Store Sales,Sales,0,973.72
2026-04-13,Daily Store Sales,Sales,0,857.81
2026-04-14,Daily Store Sales,Sales,0,896.94
2026-04-15,Daily Store Sales,Sales,0,769.4
2026-04-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-04-16,Daily Store Sales,Sales,0,892.51
2026-04-17,Daily Store Sales,Sales,0,827.21
2026-04-18,Daily Store Sales,Sales,0,778.89
2026-04-19,Daily Store Sales,Sales,0,602.83
2026-04-20,Daily Store Sales,Sales,0,816.54
2026-04-21,Daily Store Sales,Sales,0,619.22
2026-04-22,Daily Store Sales,Sales,0,776.87
2026-04-23,Daily Store Sales,Sales,0,732.71
2026-04-24,Daily Store Sales,Sales,0,754.04
2026-04-25,Daily Store Sales,Sales,0,901.52
2026-04-26,Daily Store Sales,Sales,0,583.13
2026-04-27,Daily Store Sales,Sales,0,836.74
2026-04-28,Daily Store Sales,Sales,0,1001.41
2026-04-29,Daily Store Sales,Sales,0,665.33
2026-04-30,Daily Store Sales,Sales,0,607.43
2026-05-01,Daily Store Sales,Sales,0,827.22
2026-05-01,Office Rent,Rent,12000,0.0
2026-05-01,SaaS Subscriptions,Software,1500,0.0
2026-05-02,Daily Store Sales,Sales,0,883.38
2026-05-03,Daily Store Sales,Sales,0,728.82
2026-05-04,Daily Store Sales,Sales,0,762.46
2026-05-05,Daily Store Sales,Sales,0,850.47
2026-05-06,Daily Store Sales,Sales,0,844.09
2026-05-07,Daily Store Sales,Sales,0,513.54
2026-05-08,Daily Store Sales,Sales,0,637.51
2026-05-09,Daily Store Sales,Sales,0,790.4
2026-05-10,Daily Store Sales,Sales,0,757.57
2026-05-11,Daily Store Sales,Sales,0,868.7
2026-05-12,Daily Store Sales,Sales,0,681.64
2026-05-13,Daily Store Sales,Sales,0,835.46
2026-05-14,Daily Store Sales,Sales,0,821.78
2026-05-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-05-15,Daily Store Sales,Sales,0,767.04
2026-05-16,Daily Store Sales,Sales,0,902.39
2026-05-17,Daily Store Sales,Sales,0,646.62
2026-05-18,Daily Store Sales,Sales,0,720.82
2026-05-19,Daily Store Sales,Sales,0,795.34
2026-05-20,Daily Store Sales,Sales,0,864.05
2026-05-21,Daily Store Sales,Sales,0,785.31
2026-05-22,Daily Store Sales,Sales,0,883.17
2026-05-23,Daily Store Sales,Sales,0,917.75
2026-05-24,Daily Store Sales,Sales,0,851.01
2026-05-25,Daily Store Sales,Sales,0,710.99
2026-05-26,Daily Store Sales,Sales,0,695.71
2026-05-27,Daily Store Sales,Sales,0,1053.79
2026-05-28,Daily Store Sales,Sales,0,791.8
2026-05-29,Daily Store Sales,Sales,0,749.08
2026-05-30,Daily Store Sales,Sales,0,636.45
2026-05-31,Daily Store Sales,Sales,0,668.85
2026-06-01,Daily Store Sales,Sales,0,758.98
2026-06-01,Office Rent,Rent,12000,0.0
2026-06-01,SaaS Subscriptions,Software,1500,0.0
2026-06-02,Daily Store Sales,Sales,0,692.63
2026-06-03,Daily Store Sales,Sales,0,899.56
2026-06-04,Daily Store Sales,Sales,0,789.74
2026-06-05,Daily Store Sales,Sales,0,856.81
2026-06-06,Daily Store Sales,Sales,0,714.86
2026-06-07,Daily Store Sales,Sales,0,902.64
2026-06-08,Daily Store Sales,Sales,0,862.97
2026-06-09,Daily Store Sales,Sales,0,748.46
2026-06-10,Daily Store Sales,Sales,0,622.07
2026-06-11,Daily Store Sales,Sales,0,854.24
2026-06-12,Daily Store Sales,Sales,0,776.76
2026-06-13,Daily Store Sales,Sales,0,644.09
2026-06-14,Daily Store Sales,Sales,0,699.13
2026-06-15,Daily Store Sales,Sales,0,831.25
2026-06-15,Project Milestone Payment (BONUS),Consulting Fee,0,25000.0
2026-06-16,Daily Store Sales,Sales,0,846.4
2026-06-17,Daily Store Sales,Sales,0,805.95
2026-06-18,Daily Store Sales,Sales,0,736.99
2026-06-19,Daily Store Sales,Sales,0,758.14
2026-06-20,Daily Store Sales,Sales,0,735.86
2026-06-21,Daily Store Sales,Sales,0,736.1
2026-06-22,Daily Store Sales,Sales,0,896.17
2026-06-23,Daily Store Sales,Sales,0,799.18
2026-06-24,Daily Store Sales,Sales,0,793.7
2026-06-25,Daily Store Sales,Sales,0,725.15
2026-06-26,Daily Store Sales,Sales,0,962.2
2026-06-27,Daily Store Sales,Sales,0,681.87
2026-06-28,Daily Store Sales,Sales,0,755.0
2026-06-29,Daily Store Sales,Sales,0,852.94
2026-06-30,Daily Store Sales,Sales,0,700.09
