Date,Description,Category,Debit,Credit
2026-01-01,Daily Store Sales,Sales,0,457.3
2026-01-01,Office Rent,Rent,12000,0.0
2026-01-01,SaaS Subscriptions,Software,1500,0.0
2026-01-02,Daily Store Sales,Sales,0,389.09
2026-01-03,Daily Store Sales,Sales,0,441.05
2026-01-04,Daily Store Sales,Sales,0,576.12
2026-01-05,Daily Store Sales,Sales,0,601.29
2026-01-06,Daily Store Sales,Sales,0,451.7
2026-01-07,Daily Store Sales,Sales,0,628.79
2026-01-08,Daily Store Sales,Sales,0,686.38
2026-01-09,Daily Store Sales,Sales,0,507.64
2026-01-10,Daily Store Sales,Sales,0,449.03
2026-01-11,Daily Store Sales,Sales,0,544.59
2026-01-12,Daily Store Sales,Sales,0,483.92
2026-01-13,Daily Store Sales,Sales,0,631.96
2026-01-14,Daily Store Sales,Sales,0,560.39
2026-01-15,Daily Store Sales,Sales,0,613.71
2026-01-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-01-16,Daily Store Sales,Sales,0,432.65
2026-01-17,Daily Store Sales,Sales,0,424.6
2026-01-18,Daily Store Sales,Sales,0,641.19
2026-01-19,Daily Store Sales,Sales,0,402.54
2026-01-20,Daily Store Sales,Sales,0,558.75
2026-01-21,Daily Store Sales,Sales,0,374.33
2026-01-22,Daily Store Sales,Sales,0,381.78
2026-01-23,Daily Store Sales,Sales,0,608.49
2026-01-24,Daily Store Sales,Sales,0,400.66
2026-01-25,Daily Store Sales,Sales,0,414.32
2026-01-26,Daily Store Sales,Sales,0,371.9
2026-01-27,Daily Store Sales,Sales,0,487.78
2026-01-28,Daily Store Sales,Sales,0,530.66
2026-01-29,Daily Store Sales,Sales,0,530.84
2026-01-30,Daily Store Sales,Sales,0,460.46
2026-01-31,Daily Store Sales,Sales,0,697.51
2026-02-01,Office Rent,Rent,12000,0.0
2026-02-01,SaaS Subscriptions,Software,1500,0.0
2026-02-01,Daily Store Sales,Sales,0,281.08
2026-02-02,Daily Store Sales,Sales,0,718.49
2026-02-03,Daily Store Sales,Sales,0,478.23
2026-02-04,Daily Store Sales,Sales,0,430.54
2026-02-05,Daily Store Sales,Sales,0,502.09
2026-02-06,Daily Store Sales,Sales,0,532.86
2026-02-07,Daily Store Sales,Sales,0,639.18
2026-02-08,Daily Store Sales,Sales,0,589.36
2026-02-09,Daily Store Sales,Sales,0,470.67
2026-02-10,Daily Store Sales,Sales,0,398.59
2026-02-11,Daily Store Sales,Sales,0,452.55
2026-02-12,Daily Store Sales,Sales,0,628.01
2026-02-13,Daily Store Sales,Sales,0,485.93
2026-02-14,Daily Store Sales,Sales,0,656.07
2026-02-15,Daily Store Sales,Sales,0,416.49
2026-02-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-02-16,Daily Store Sales,Sales,0,482.57
2026-02-17,Daily Store Sales,Sales,0,634.45
2026-02-18,Daily Store Sales,Sales,0,487.71
2026-02-19,Daily Store Sales,Sales,0,376.22
2026-02-20,Daily Store Sales,Sales,0,565.67
2026-02-21,Daily Store Sales,Sales,0,512.06
2026-02-22,Daily Store Sales,Sales,0,550.64
2026-02-23,Daily Store Sales,Sales,0,668.82
2026-02-24,Daily Store Sales,Sales,0,448.22
2026-02-25,Daily Store Sales,Sales,0,422.47
2026-02-26,Daily Store Sales,Sales,0,538.85
2026-02-27,Daily Store Sales,Sales,0,539.3
2026-02-28,Daily Store Sales,Sales,0,430.91
2026-03-01,Daily Store Sales,Sales,0,572.91
2026-03-01,Office Rent,Rent,12000,0.0
2026-03-01,SaaS Subscriptions,Software,1500,0.0
2026-03-02,Daily Store Sales,Sales,0,333.16
2026-03-03,Daily Store Sales,Sales,0,359.58
2026-03-04,Daily Store Sales,Sales,0,649.51
2026-03-05,Daily Store Sales,Sales,0,568.7
2026-03-06,Daily Store Sales,Sales,0,567.73
2026-03-07,Daily Store Sales,Sales,0,490.17
2026-03-08,Daily Store Sales,Sales,0,535.93
2026-03-09,Daily Store Sales,Sales,0,333.27
2026-03-10,Daily Store Sales,Sales,0,466.37
2026-03-11,Daily Store Sales,Sales,0,483.05
2026-03-12,Daily Store Sales,Sales,0,619.25
2026-03-13,Daily Store Sales,Sales,0,395.94
2026-03-14,Daily Store Sales,Sales,0,527.93
2026-03-15,Daily Store Sales,Sales,0,443.87
2026-03-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-03-16,Daily Store Sales,Sales,0,578.28
2026-03-17,Daily Store Sales,Sales,0,680.75
2026-03-18,Daily Store Sales,Sales,0,417.55
2026-03-19,Daily Store Sales,Sales,0,332.4
2026-03-20,Daily Store Sales,Sales,0,517.95
2026-03-21,Daily Store Sales,Sales,0,635.09
2026-03-22,Daily Store Sales,Sales,0,406.91
2026-03-23,Daily Store Sales,Sales,0,379.56
2026-03-24,Daily Store Sales,Sales,0,535.73
2026-03-25,Daily Store Sales,Sales,0,502.97
2026-03-26,Daily Store Sales,Sales,0,566.76
2026-03-27,Daily Store Sales,Sales,0,565.82
2026-03-28,Daily Store Sales,Sales,0,369.67
2026-03-29,Daily Store Sales,Sales,0,352.96
2026-03-30,Daily Store Sales,Sales,0,643.37
2026-03-31,Daily Store Sales,Sales,0,428.87
2026-04-01,SaaS Subscriptions,Software,1500,0.0
2026-04-01,Daily Store Sales,Sales,0,422.62
2026-04-01,Office Rent,Rent,12000,0.0
2026-04-02,Daily Store Sales,Sales,0,488.48
2026-04-03,Daily Store Sales,Sales,0,570.18
2026-04-04,Daily Store Sales,Sales,0,503.25
2026-04-05,Daily Store Sales,Sales,0,509.24
2026-04-06,Daily Store Sales,Sales,0,563.85
2026-04-07,Daily Store Sales,Sales,0,398.44
2026-04-08,Daily Store Sales,Sales,0,479.66
2026-04-09,Daily Store Sales,Sales,0,405.9
2026-04-10,Daily Store Sales,Sales,0,582.44
2026-04-11,Daily Store Sales,Sales,0,543.8
2026-04-12,Daily Store Sales,Sales,0,518.38
2026-04-13,Daily Store Sales,Sales,0,356.08
2026-04-14,Daily Store Sales,Sales,0,703.62
2026-04-15,Daily Store Sales,Sales,0,457.94
2026-04-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-04-16,Daily Store Sales,Sales,0,539.67
2026-04-17,Daily Store Sales,Sales,0,442.32
2026-04-18,Daily Store Sales,Sales,0,569.44
2026-04-19,Daily Store Sales,Sales,0,475.09
2026-04-20,Daily Store Sales,Sales,0,586.07
2026-04-21,Daily Store Sales,Sales,0,432.41
2026-04-22,Daily Store Sales,Sales,0,497.35
2026-04-23,Daily Store Sales,Sales,0,633.44
2026-04-24,Daily Store Sales,Sales,0,627.68
2026-04-25,Daily Store Sales,Sales,0,588.93
2026-04-26,Daily Store Sales,Sales,0,578.41
2026-04-27,Daily Store Sales,Sales,0,523.13
2026-04-28,Daily Store Sales,Sales,0,635.17
2026-04-29,Daily Store Sales,Sales,0,525.91
2026-04-30,Daily Store Sales,Sales,0,571.76
2026-05-01,Daily Store Sales,Sales,0,542.29
2026-05-01,Office Rent,Rent,12000,0.0
2026-05-01,SaaS Subscriptions,Software,1500,0.0
2026-05-02,Daily Store Sales,Sales,0,418.33
2026-05-03,Daily Store Sales,Sales,0,343.19
2026-05-04,Daily Store Sales,Sales,0,406.48
2026-05-05,Daily Store Sales,Sales,0,528.53
2026-05-06,Daily Store Sales,Sales,0,354.28
2026-05-07,Daily Store Sales,Sales,0,522.23
2026-05-08,Daily Store Sales,Sales,0,548.11
2026-05-09,Daily Store Sales,Sales,0,591.67
2026-05-10,Daily Store Sales,Sales,0,632.35
2026-05-11,Daily Store Sales,Sales,0,368.86
2026-05-12,Daily Store Sales,Sales,0,653.41
2026-05-13,Daily Store Sales,Sales,0,317.37
