Date,Description,Category,Debit,Credit
2026-01-01,Daily Store Sales,Sales,0,479.29
2026-01-01,Office Rent,Rent,12000,0.0
2026-01-01,SaaS Subscriptions,Software,1500,0.0
2026-01-02,Daily Store Sales,Sales,0,322.68
2026-01-03,Daily Store Sales,Sales,0,601.28
2026-01-04,Daily Store Sales,Sales,0,638.06
2026-01-05,Daily Store Sales,Sales,0,662.47
2026-01-06,Daily Store Sales,Sales,0,683.09
2026-01-07,Daily Store Sales,Sales,0,561.87
2026-01-08,Daily Store Sales,Sales,0,627.37
2026-01-09,Daily Store Sales,Sales,0,369.87
2026-01-10,Daily Store Sales,Sales,0,422.13
2026-01-11,Daily Store Sales,Sales,0,601.75
2026-01-12,Daily Store Sales,Sales,0,538.48
2026-01-13,Daily Store Sales,Sales,0,657.71
2026-01-14,Daily Store Sales,Sales,0,563.71
2026-01-15,Daily Store Sales,Sales,0,550.76
2026-01-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-01-16,Daily Store Sales,Sales,0,514.29
2026-01-17,Daily Store Sales,Sales,0,522.41
2026-01-18,Daily Store Sales,Sales,0,392.59
2026-01-19,Daily Store Sales,Sales,0,512.09
2026-01-20,Daily Store Sales,Sales,0,442.04
2026-01-21,Daily Store Sales,Sales,0,416.54
2026-01-22,Daily Store Sales,Sales,0,487.35
2026-01-23,Daily Store Sales,Sales,0,531.14
2026-01-24,Daily Store Sales,Sales,0,476.17
2026-01-25,Daily Store Sales,Sales,0,458.88
2026-01-26,Daily Store Sales,Sales,0,557.27
2026-01-27,Daily Store Sales,Sales,0,403.63
2026-01-28,Daily Store Sales,Sales,0,721.33
2026-01-29,Daily Store Sales,Sales,0,297.98
2026-01-30,Daily Store Sales,Sales,0,540.58
2026-01-31,Daily Store Sales,Sales,0,366.74
2026-02-01,Office Rent,Rent,12000,0.0
2026-02-01,SaaS Subscriptions,Software,1500,0.0
2026-02-01,Daily Store Sales,Sales,0,574.33
2026-02-02,Daily Store Sales,Sales,0,552.41
2026-02-03,Daily Store Sales,Sales,0,507.73
2026-02-04,Daily Store Sales,Sales,0,362.01
2026-02-05,Daily Store Sales,Sales,0,562.64
2026-02-06,Daily Store Sales,Sales,0,490.21
2026-02-07,Daily Store Sales,Sales,0,348.36
2026-02-08,Daily Store Sales,Sales,0,642.27
2026-02-09,Daily Store Sales,Sales,0,566.48
2026-02-10,Daily Store Sales,Sales,0,551.35
2026-02-11,Daily Store Sales,Sales,0,578.14
2026-02-12,Daily Store Sales,Sales,0,381.98
2026-02-13,Daily Store Sales,Sales,0,389.15
2026-02-14,Daily Store Sales,Sales,0,457.68
2026-02-15,Daily Store Sales,Sales,0,441.3
2026-02-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-02-16,Daily Store Sales,Sales,0,522.94
2026-02-17,Daily Store Sales,Sales,0,618.09
2026-02-18,Daily Store Sales,Sales,0,473.18
2026-02-19,Daily Store Sales,Sales,0,442.06
2026-02-20,Daily Store Sales,Sales,0,297.44
2026-02-21,Daily Store Sales,Sales,0,287.89
2026-02-22,Daily Store Sales,Sales,0,482.39
2026-02-23,Daily Store Sales,Sales,0,487.89
2026-02-24,Daily Store Sales,Sales,0,483.5
