Date,Description,Category,Debit,Credit
2026-01-01,Daily Store Sales,Sales,0,452.29
2026-01-01,Office Rent,Rent,12000,0.0
2026-01-01,SaaS Subscriptions,Software,1500,0.0
2026-01-02,Daily Store Sales,Sales,0,381.68
2026-01-03,Daily Store Sales,Sales,0,544.19
2026-01-04,Daily Store Sales,Sales,0,527.06
2026-01-05,Daily Store Sales,Sales,0,504.12
2026-01-06,Daily Store Sales,Sales,0,512.15
2026-01-07,Daily Store Sales,Sales,0,376.13
2026-01-08,Daily Store Sales,Sales,0,376.71
2026-01-09,Daily Store Sales,Sales,0,381.73
2026-01-10,Daily Store Sales,Sales,0,350.14
2026-01-11,Daily Store Sales,Sales,0,420.77
2026-01-12,Daily Store Sales,Sales,0,404.91
2026-01-13,Daily Store Sales,Sales,0,535.03
2026-01-14,Daily Store Sales,Sales,0,542.25
2026-01-15,Daily Store Sales,Sales,0,580.75
2026-01-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-01-16,Daily Store Sales,Sales,0,327.34
2026-01-17,Daily Store Sales,Sales,0,646.71
2026-01-18,Daily Store Sales,Sales,0,556.91
2026-01-19,Daily Store Sales,Sales,0,603.42
2026-01-20,Daily Store Sales,Sales,0,368.0
2026-01-21,Daily Store Sales,Sales,0,227.39
2026-01-22,Daily Store Sales,Sales,0,567.56
2026-01-23,Daily Store Sales,Sales,0,461.12
2026-01-24,Daily Store Sales,Sales,0,482.45
2026-01-25,Daily Store Sales,Sales,0,481.21
2026-01-26,Daily Store Sales,Sales,0,563.0
2026-01-27,Daily Store Sales,Sales,0,496.76
2026-01-28,Daily Store Sales,Sales,0,555.75
2026-01-29,Daily Store Sales,Sales,0,490.01
2026-01-30,Daily Store Sales,Sales,0,483.66
2026-01-31,Daily Store Sales,Sales,0,349.48
2026-02-01,Office Rent,Rent,12000,0.0
2026-02-01,SaaS Subscriptions,Software,1500,0.0
2026-02-01,Daily Store Sales,Sales,0,460.68
2026-02-02,Daily Store Sales,Sales,0,648.67
2026-02-03,Daily Store Sales,Sales,0,541.63
2026-02-04,Daily Store Sales,Sales,0,581.52
2026-02-05,Daily Store Sales,Sales,0,434.63
2026-02-06,Daily Store Sales,Sales,0,348.64
2026-02-07,Daily Store Sales,Sales,0,551.36
2026-02-08,Daily Store Sales,Sales,0,615.29
2026-02-09,Daily Store Sales,Sales,0,637.82
2026-02-10,Daily Store Sales,Sales,0,259.6
2026-02-11,Daily Store Sales,Sales,0,460.07
2026-02-12,Daily Store Sales,Sales,0,392.44
2026-02-13,Daily Store Sales,Sales,0,428.19
2026-02-14,Daily Store Sales,Sales,0,443.16
2026-02-15,Daily Store Sales,Sales,0,499.64
2026-02-15,Project Milestone Payment,Consulting Fee,0,15000.0
2026-02-16,Daily Store Sales,Sales,0,354.87
2026-02-17,Daily Store Sales,Sales,0,381.08
2026-02-18,Daily Store Sales,Sales,0,412.02
2026-02-19,Daily Store Sales,Sales,0,564.57
2026-02-20,Daily Store Sales,Sales,0,451.41
2026-02-21,Daily Store Sales,Sales,0,566.34
2026-02-22,Daily Store Sales,Sales,0,630.78
2026-02-23,Daily Store Sales,Sales,0,637.18
2026-02-24,Daily Store Sales,Sales,0,583.65
2026-02-25,Daily Store Sales,Sales,0,477.22
2026-02-26,Daily Store Sales,Sales,0,559.34
2026-02-27,Daily Store Sales,Sales,0,535.7
2026-02-28,Daily Store Sales,Sales,0,443.29
2026-03-01,Daily Store Sales,Sales,0,496.9
2026-03-01,Office Rent,Rent,12000,0.0
2026-03-01,SaaS Subscriptions,Software,1500,0.0
2026-03-02,Daily Store Sales,Sales,0,791.26
2026-03-03,Daily Store Sales,Sales,0,583.12
2026-03-04,Daily Store Sales,Sales,0,621.17
2026-03-05,Daily Store Sales,Sales,0,546.14
2026-03-05,Consulting Fee - TechCorp (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-06,Daily Store Sales,Sales,0,567.12
2026-03-07,Daily Store Sales,Sales,0,329.57
2026-03-08,Daily Store Sales,Sales,0,475.16
2026-03-09,Daily Store Sales,Sales,0,360.99
2026-03-10,Daily Store Sales,Sales,0,392.58
2026-03-11,Daily Store Sales,Sales,0,323.11
2026-03-12,Daily Store Sales,Sales,0,675.16
2026-03-12,Consulting Fee - GlobalSystems (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-13,Daily Store Sales,Sales,0,604.98
2026-03-14,Daily Store Sales,Sales,0,643.61
2026-03-15,Daily Store Sales,Sales,0,518.42
2026-03-15,Annual Corporate Tax Payment,Tax,45000,0.0
2026-03-16,Daily Store Sales,Sales,0,442.02
2026-03-17,Daily Store Sales,Sales,0,538.76
2026-03-18,Daily Store Sales,Sales,0,539.0
2026-03-19,Daily Store Sales,Sales,0,507.49
2026-03-20,Daily Store Sales,Sales,0,492.29
2026-03-21,Daily Store Sales,Sales,0,654.87
2026-03-22,Daily Store Sales,Sales,0,635.79
2026-03-23,Daily Store Sales,Sales,0,322.76
2026-03-24,Daily Store Sales,Sales,0,513.24
2026-03-25,Daily Store Sales,Sales,0,508.41
2026-03-25,Consulting Fee - DeltaWorks (LATE PAYMENT - RECORDED BUT UNPAID),Consulting Fee,0,0.0
2026-03-26,Daily Store Sales,Sales,0,573.53
2026-03-27,Daily Store Sales,Sales,0,451.0
2026-03-28,Daily Store Sales,Sales,0,524.98
2026-03-29,Daily Store Sales,Sales,0,607.1
2026-03-30,Daily Store Sales,Sales,0,507.15
2026-03-31,Daily Store Sales,Sales,0,407.62
2026-04-01,Daily Store Sales,Sales,0,461.72
2026-04-01,Office Rent,Rent,12000,0.0
2026-04-01,SaaS Subscriptions,Software,1500,0.0
2026-04-02,Daily Store Sales,Sales,0,647.21
2026-04-03,Daily Store Sales,Sales,0,518.01
2026-04-04,Daily Store Sales,Sales,0,354.37
2026-04-05,Daily Store Sales,Sales,0,513.87
2026-04-06,Daily Store Sales,Sales,0,468.61
2026-04-07,Daily Store Sales,Sales,0,316.02
2026-04-08,Daily Store Sales,Sales,0,461.88
2026-04-09,Daily Store Sales,Sales,0,555.02
2026-04-10,Daily Store Sales,Sales,0,529.86
2026-04-11,Daily Store Sales,Sales,0,536.67
